time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel	controller_flag
284.905	-0.0130515	-5.90776	0.00230744	-0.00149707	0.746506	0.665373	0.71668	1.75371	1
285.112	-0.0357334	-5.79732	0.00433963	-0.00290334	0.816001	0.578027	0.553359	1.36529	1
285.304	-0.159572	-5.66538	0.0063606	-0.00378041	0.867297	0.497735	0.65604	1.06317	1
285.504	-0.278126	-5.56366	0.00885455	-0.00430768	0.904207	0.426982	0.694033	0.779334	1
285.704	-0.375265	-5.45525	0.0119046	-0.00485712	0.927542	0.373496	0.74019	0.639487	1
285.904	-0.4504	-5.3577	0.0153841	-0.00548413	0.942223	0.334587	0.790067	0.477533	1
286.104	-0.570176	-5.26497	0.0190101	-0.00609882	0.951879	0.305825	0.794663	0.402304	1
286.304	-0.649907	-5.20615	0.0220947	-0.00671007	0.956322	0.291403	0.810635	0.327804	1
286.504	-0.78842	-5.11739	0.026022	-0.00741922	0.960879	0.275642	0.823645	0.300692	1
286.705	-0.931089	-5.032	0.0300799	-0.00812025	0.964238	0.263201	0.835307	0.295388	1
286.904	-1.06165	-4.95079	0.0342043	-0.00875967	0.967397	0.250793	0.85903	0.234186	1
287.104	-1.16384	-4.89546	0.0357685	-0.00993305	0.96312	0.2665	0.335713	-0.710085	2
287.304	-1.21705	-4.86121	0.0346754	-0.0132281	0.936147	0.349644	0.345268	-1.4633	2
287.504	-1.26308	-4.81274	0.0335212	-0.0160009	0.90435	0.425172	0.377771	-0.599129	2
287.704	-1.30158	-4.76229	0.0329146	-0.0174624	0.885955	0.462271	0.464452	-1.04499	2
287.904	-1.34805	-4.68592	0.0322069	-0.020545	0.848035	0.528562	0.483174	-1.03103	2
288.104	-1.39132	-4.59387	0.0316369	-0.0235328	0.809101	0.586346	0.512145	-0.983934	2
288.304	-1.4131	-4.51182	0.0315056	-0.0249684	0.783448	0.620156	0	0.8	3
288.504	-1.42235	-4.50527	0.0300748	-0.0204377	0.814825	0.578566	0	0.8	3
288.704	-1.42233	-4.50352	0.0289171	-0.0170402	0.840422	0.540892	0.158049	0.438958	2
288.904	-1.42837	-4.47777	0.0280291	-0.016492	0.861472	0.506762	0	0.8	3
289.104	-1.43586	-4.46478	0.0265119	-0.0138002	0.886652	0.46147	0.122138	0.631056	2
289.304	-1.50067	-4.47617	0.0251203	-0.0115555	0.908071	0.417903	0	0.8	3
289.504	-1.50139	-4.47371	0.02273	-0.00857762	0.932331	0.360788	0	0.8	3
289.704	-1.51124	-4.46456	0.0205796	-0.00663111	0.951365	0.307307	0	0.8	3
289.904	-1.46121	-4.45304	0.0176032	-0.00451994	0.968461	0.248502	0	0.8	3
290.104	-1.48091	-4.44303	0.0154114	-0.00310948	0.979994	0.198405	0.20648	0.566231	2
290.304	-1.51864	-4.40405	0.0141318	-0.00227244	0.986715	0.161829	0.239612	0.517464	2
290.504	-1.56571	-4.39005	0.0130698	-0.00161583	0.991694	0.127947	0.244018	0.485456	2
290.705	-1.6396	-4.3613	0.0119587	-0.00123703	0.993923	0.10942	0.216885	0.412691	2
290.904	-1.68182	-4.35347	0.01067	-0.00084267	0.996202	0.0864137	0.194798	0.329366	2
291.104	-1.72102	-4.34802	0.00924876	-0.000480516	0.997984	0.0627797	0.198935	0.400975	2
291.304	-1.71957	-4.34399	0.00819154	-0.000211336	0.999259	0.0376085	0.200707	0.309203	2
291.504	-1.75991	-4.34225	0.00687885	-6.4238e-05	0.999768	0.0203917	0.200604	0.230881	2
291.704	-1.79997	-4.34166	0.00560219	-1.05303e-06	0.999951	0.00819546	0.200682	0.12147	2
