time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel
274.655	-0.0024985	-5.99648	-0.000422491	0.000446627	0.709071	0.705137	0.0680679	0.260315
274.855	-0.0023807	-5.97717	-0.000261892	0.000343821	0.725672	0.688041	0.145822	0.397013
275.055	-0.00428997	-5.94101	0.000390602	-0.000291092	0.749618	0.66187	0.207218	0.457097
275.255	-0.0604315	-5.87684	0.000475419	-0.000333346	0.767	0.641647	0.297432	0.413541
275.455	-0.0843836	-5.80667	0.000616006	-0.000545662	0.786818	0.617185	0.386114	0.416577
275.655	-0.105546	-5.72655	0.00110188	-0.000967646	0.808469	0.588538	0.446173	0.406709
275.855	-0.186134	-5.62562	0.00205795	-0.0016626	0.82498	0.565155	0.522824	0.383233
276.055	-0.228539	-5.5219	0.00355398	-0.00254559	0.8461	0.533006	0.5989	0.348031
276.255	-0.26961	-5.43842	0.00508882	-0.00324801	0.860714	0.509054	0.664553	0.352113
276.455	-0.357236	-5.32965	0.0074479	-0.00436721	0.874602	0.484765	0.6881	0.368078
276.655	-0.432146	-5.21565	0.00998225	-0.00526668	0.890657	0.454535	0.694077	0.371432
276.855	-0.517092	-5.10418	0.0127016	-0.00609221	0.905152	0.424854	0.688159	0.376291
277.055	-0.584037	-5.02458	0.0152173	-0.00662771	0.918819	0.39433	0.623141	0.347438
277.255	-0.649447	-4.95963	0.0171617	-0.0068633	0.929802	0.367597	0.533639	0.301507
277.455	-0.728074	-4.88875	0.0185125	-0.00691513	0.937698	0.346888	0.531117	0.318106
277.655	-0.8115	-4.82828	0.0197957	-0.00698987	0.943546	0.330577	0.507463	0.317872
277.855	-0.887954	-4.76975	0.0207723	-0.00683378	0.950169	0.310968	0.475051	0.318702
278.055	-0.961097	-4.71846	0.0214495	-0.00657087	0.956095	0.292199	0.41427	0.291464
278.255	-1.0319	-4.67325	0.0213813	-0.00603262	0.962444	0.270571	0.322461	0.23318
278.455	-1.08538	-4.642	0.020869	-0.0055772	0.966042	0.257479	0.315512	0.244227
278.655	-1.14137	-4.61306	0.0202024	-0.00508649	0.969567	0.243937	0.283426	0.231307
278.855	-1.19718	-4.59074	0.0194361	-0.00465596	0.972365	0.232608	0.2532	0.203817
279.055	-1.2435	-4.56961	0.0184406	-0.00418046	0.975132	0.220818	0.256414	0.230887
279.255	-1.2847	-4.55242	0.0172606	-0.00370374	0.977625	0.209615	0.221783	0.221509
279.455	-1.31572	-4.54099	0.0156157	-0.00320832	0.979582	0.20041	0.22315	0.0932204
279.655	-1.35799	-4.52574	0.0143993	-0.0029295	0.979649	0.200177	0.283232	0.0474842
279.855	-1.39802	-4.50617	0.0137431	-0.0028124	0.979144	0.202681	0.334631	0.0756809
280.055	-1.45293	-4.48078	0.0135709	-0.00277826	0.978914	0.203805	0.382082	0.0777401
280.255	-1.52654	-4.45257	0.0138571	-0.00285175	0.978551	0.205519	0.422794	0.0899486
280.455	-1.60826	-4.42187	0.0144258	-0.00299822	0.978107	0.207578	0.440733	0.0872232
280.655	-1.69157	-4.39543	0.0150478	-0.00316233	0.977658	0.209641	0.439666	0.084105
280.855	-1.76989	-4.37481	0.0153726	-0.00330409	0.977111	0.212149	0.374656	0.0468041
281.055	-1.83322	-4.36407	0.0153599	-0.00339093	0.976397	0.215409	0.346323	0.0357643
281.255	-1.90089	-4.35282	0.0151629	-0.00343165	0.97604	0.217034	0.320116	0.00868253
281.455	-1.94875	-4.34645	0.0149339	-0.00338825	0.97582	0.218037	0.30275	-0.00424124
281.655	-1.98332	-4.40993	0.0145266	-0.0032158	0.97736	0.211058	0.294468	-0.00915452
281.856	-2.04394	-4.40471	0.0140306	-0.00314505	0.9771	0.212296	0.279928	-0.0206384
282.055	-2.10268	-4.40022	0.0134677	-0.0030368	0.976902	0.21324	0.269459	-0.016375
282.255	-2.16533	-4.40608	0.0127365	-0.00292149	0.97732	0.211363	0.231949	-0.0475238
282.455	-2.22309	-4.41092	0.0118995	-0.00271955	0.977595	0.210139	0.251945	-0.0282142
282.655	-2.27192	-4.40908	0.0109457	-0.00253674	0.977384	0.211171	0.219213	-0.0497257
