time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel
286.821	1.12093	-4.58401	-0.000171892	0.000471937	0.259209	0.965821	0.0815547	-0.104632
287.021	1.12976	-4.57833	-0.000139202	0.000464396	0.25152	0.967852	0.0552005	-0.110151
287.221	1.13731	-4.5736	-9.51277e-05	0.000522296	0.244078	0.969755	0.0528411	-0.111084
287.421	1.14504	-4.56893	-0.000133828	0.000463008	0.236683	0.971587	0.0509954	-0.115041
287.621	1.14829	-4.56464	-0.000118931	0.000413153	0.227833	0.9737	0.0460815	-0.127395
287.821	1.15469	-4.56112	-0.000135129	0.000459009	0.222327	0.974972	0.0460065	-0.125512
288.021	1.16085	-4.55767	-7.54061e-05	0.00045567	0.214068	0.976819	0.0430425	-0.109631
288.221	1.18672	-4.57297	-7.55799e-05	0.000419411	0.209098	0.977895	0.0415917	-0.110675
288.421	1.1916	-4.57052	-5.49031e-05	0.000458593	0.201587	0.979471	0.0280918	-0.11509
288.621	1.1953	-4.56869	-3.09644e-05	0.000407407	0.193283	0.981143	0.021457	-0.131226
288.821	1.19649	-4.55401	-4.84866e-05	0.000359771	0.188143	0.982142	0.0164396	-0.113504
289.021	1.1999	-4.55243	-5.14075e-06	0.000365717	0.179732	0.983716	0.015334	-0.118583
289.221	1.20274	-4.55118	-3.54033e-05	0.000371034	0.171317	0.985216	0.0125384	-0.109256
289.421	1.20047	-4.54898	-6.76971e-05	0.000291313	0.160908	0.986969	0.0109414	-0.104974
289.621	1.20304	-4.54782	-1.93983e-05	0.000289264	0.151082	0.988521	0.00811553	-0.125789
289.821	1.20479	-4.5469	-6.40521e-05	0.000300527	0.141659	0.989916	0.00612248	-0.112294
290.021	1.21095	-4.54755	1.90828e-05	0.000263019	0.134001	0.990981	0.00699997	-0.10413
290.221	1.212	-4.54682	2.75859e-05	0.000282451	0.124432	0.992228	0.00554441	-0.130117
290.421	1.21246	-4.54638	2.25308e-05	0.000271035	0.117487	0.993074	0.00468362	-0.122515
290.621	1.22494	-4.55526	-4.73267e-05	0.000279093	0.110841	0.993838	0.00626889	-0.120642
290.821	1.22635	-4.55474	-1.63263e-05	0.000300545	0.101523	0.994833	0.0246569	-0.130952
291.021	1.22844	-4.55405	-4.99953e-05	0.000327038	0.0915714	0.995798	0.023945	-0.12374
