time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel
235.85	-7.523	-6.19314	8.72425e-05	-0.000308763	0.334827	0.942279	0.295289	-0.0798061
236.05	-7.47763	-6.15538	9.25562e-05	-0.000324677	0.327915	0.944707	0.291007	-0.0913999
236.25	-7.43298	-6.12083	0.000112682	-0.000320595	0.32337	0.946273	0.289069	-0.0758628
236.45	-7.39937	-6.09552	4.16032e-05	-0.000325864	0.32016	0.947363	0.29824	-0.0843992
236.65	-7.35164	-6.06602	0.000100619	-0.000347856	0.314934	0.949114	0.29328	-0.0932862
236.85	-7.3061	-6.03277	5.45387e-05	-0.000336965	0.310002	0.950736	0.293563	-0.103525
237.05	-7.24701	-6.01114	6.94048e-05	-0.00032598	0.304984	0.952357	0.297985	-0.106002
237.25	-7.20003	-5.97841	9.5205e-05	-0.000337322	0.299673	0.954042	0.297523	-0.116081
237.45	-7.15286	-5.94643	7.38982e-05	-0.000402032	0.29403	0.955796	0.296464	-0.106435
237.65	-7.10579	-5.90021	1.99543e-05	-0.000288688	0.289509	0.957175	0.275035	0.0928836
237.85	-7.05738	-5.86833	8.59141e-05	-0.000395211	0.303599	0.9528	0.316042	0.170425
238.05	-7.00684	-5.83353	8.72145e-05	-0.000397821	0.318778	0.947829	0.307419	0.159791
238.25	-6.96673	-5.80872	8.70519e-05	-0.000318961	0.334615	0.942355	0.310843	0.148309
238.45	-6.91992	-5.77042	7.90947e-05	-0.000363452	0.347472	0.93769	0.309851	0.146374
238.65	-6.87467	-5.73119	0.000123777	-0.000356428	0.359841	0.933013	0.308188	0.143259
238.85	-6.82666	-5.69225	0.00013616	-0.000275319	0.368783	0.929516	0.301967	0.149746
239.05	-6.79412	-5.6616	0.000142903	-0.000335856	0.377255	0.926109	0.302216	0.145099
239.25	-6.75243	-5.62054	7.29241e-05	-0.000221486	0.3877	0.921786	0.297255	0.137988
239.451	-6.71618	-5.57801	0.000155228	-0.000261874	0.395357	0.918527	0.303485	0.132207
239.65	-6.67614	-5.53524	0.000106718	-0.000291008	0.404546	0.914518	0.303623	0.138752
239.85	-6.63682	-5.49186	0.000169941	-0.00028737	0.414109	0.910227	0.295604	0.139186
240.05	-6.59737	-5.45399	0.000113318	-0.000224163	0.425238	0.905082	0.296997	0.133699
240.25	-6.56073	-5.40887	9.28261e-05	-0.000251667	0.433363	0.901219	0.29751	0.141834
240.45	-6.56476	-5.34912	0.000154936	-0.00028235	0.443947	0.896053	0.293778	0.114393
240.651	-6.53045	-5.30284	0.000173841	-0.000266544	0.450605	0.892723	0.289937	0.12317
