time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel
215.43	-8.9996	-8.99652	-0.000405592	0.000461215	0.703156	0.711036	0.0691292	-0.10891
215.63	-8.99959	-8.98144	-0.00034902	0.000428378	0.698201	0.715902	0.126102	-0.069963
215.83	-8.99914	-8.96464	-2.49522e-06	-2.57023e-05	0.693818	0.720151	0.159386	-0.0775807
216.03	-8.99805	-8.93242	0.000346046	-0.000309842	0.689741	0.724056	0.203606	-0.0778263
216.23	-8.99646	-8.88996	0.000316193	-0.000321879	0.686365	0.727257	0.237516	-0.0538394
216.43	-8.93229	-8.87568	0.000418244	-0.000429948	0.686327	0.727293	0.289883	-0.056289
216.63	-8.92909	-8.81629	0.00043452	-0.000487137	0.681253	0.732048	0.296621	-0.0561837
216.83	-8.9252	-8.75846	0.00037526	-0.000432029	0.676301	0.736626	0.295472	-0.0560085
217.03	-8.94127	-8.68374	0.000338377	-0.000392896	0.670366	0.74203	0.298173	-0.0567331
217.23	-8.93568	-8.62502	0.000390601	-0.000379781	0.665038	0.74681	0.293906	-0.0571398
217.43	-8.92936	-8.56644	0.000395784	-0.000377405	0.659588	0.751627	0.301283	-0.0625229
217.63	-8.9539	-8.49672	0.000388897	-0.000393763	0.653242	0.757149	0.299989	-0.0670669
217.83	-8.94878	-8.45159	0.00039505	-0.000445134	0.64858	0.761147	0.312913	-0.0643577
218.03	-8.9402	-8.39152	0.000414426	-0.000432233	0.642142	0.766586	0.308686	-0.069984
218.23	-8.91047	-8.35565	0.000401623	-0.000472994	0.637308	0.770609	0.312169	-0.0769402
218.43	-8.90231	-8.29432	0.000399543	-0.000476637	0.63064	0.776075	0.309008	-0.0761034
218.63	-8.89428	-8.23196	0.000399199	-0.000509624	0.623889	0.781513	0.317746	-0.0830269
218.83	-8.84291	-8.21445	0.00039321	-0.000567362	0.62177	0.7832	0.326251	-0.0979094
219.03	-8.83526	-8.14787	0.000473834	-0.000647753	0.613929	0.789361	0.350825	-0.107458
219.23	-8.82717	-8.07877	0.000598714	-0.00084276	0.605351	0.795958	0.348835	-0.115033
219.43	-8.83221	-7.991	0.00071622	-0.0010186	0.594135	0.804365	0.351013	-0.114615
219.63	-8.82368	-7.92156	0.00082997	-0.00120593	0.58476	0.811205	0.357275	-0.136727
219.83	-8.81487	-7.85145	0.000943179	-0.00139524	0.574995	0.818155	0.353943	-0.138382
220.03	-8.82909	-7.74855	0.00103203	-0.00158496	0.560691	0.828023	0.349665	-0.148202
220.23	-8.81943	-7.67841	0.00110502	-0.00173721	0.550237	0.835006	0.346303	-0.147926
220.43	-8.81223	-7.62611	0.00110471	-0.00176738	0.542501	0.840053	0.355563	-0.143623
220.63	-8.80243	-7.55847	0.00112715	-0.0018584	0.53292	0.846163	0.330586	-0.143936
220.83	-8.79189	-7.48847	0.00115614	-0.00190702	0.522449	0.852667	0.330256	-0.131519
221.03	-8.78128	-7.41916	0.00111797	-0.00191523	0.512299	0.858804	0.347316	-0.143125
221.23	-8.76142	-7.35723	0.00112717	-0.00193274	0.503803	0.863815	0.365401	-0.145257
221.43	-8.75009	-7.28692	0.00113614	-0.00193225	0.492848	0.870112	0.306845	-0.155125
221.63	-8.7713	-7.18784	0.00095793	-0.00164802	0.478873	0.877882	0.321945	-0.0762577
221.83	-8.74112	-7.13139	0.000777276	-0.00133445	0.469635	0.882859	0.288953	-0.0679433
222.03	-8.71037	-7.07948	0.000524232	-0.000896098	0.461329	0.887229	0.341749	-0.082619
222.23	-8.67078	-7.01849	0.000352518	-0.000593665	0.45205	0.891992	0.315408	-0.0625696
222.43	-8.63445	-6.96686	0.000204205	-0.000350566	0.444843	0.895608	0.341292	-0.0729023
222.63	-8.58953	-6.92568	0.000231358	-0.000369616	0.439685	0.898152	0.305037	-0.072062
222.83	-8.54405	-6.88981	0.000207555	-0.000334656	0.4356	0.90014	0.332039	-0.0766645
223.031	-8.51671	-6.8525	0.000194854	-0.000358245	0.430685	0.902502	0.325717	-0.0706643
223.23	-8.47906	-6.80135	0.000134673	-0.000376213	0.423862	0.905727	0.331765	-0.0671428
