time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel	controller_flag
219.623	-8.99834	-8.90159	0.00212906	-0.00259019	0.689779	0.724012	0.81258	-0.446367	1
219.823	-8.98587	-8.74453	0.00530526	-0.0060637	0.665475	0.746377	0.794843	-0.437013	1
220.023	-8.95514	-8.64271	0.0075687	-0.00889368	0.645944	0.763296	0.852606	-0.377147	1
220.223	-8.88678	-8.52543	0.0103008	-0.0127666	0.620067	0.784377	0.831374	-0.286905	1
220.423	-8.84556	-8.36349	0.0126369	-0.0168635	0.591632	0.805933	0.854625	-0.18069	1
220.624	-8.77695	-8.22181	0.0147271	-0.0210614	0.567254	0.823142	0.855139	-0.137762	1
220.823	-8.69956	-8.0775	0.0168186	-0.0253388	0.548707	0.835461	0.878886	-0.0662231	1
221.023	-8.62798	-7.91479	0.0188583	-0.0297045	0.532704	0.84557	0.87781	-0.0462833	1
221.223	-8.61336	-7.65365	0.0203903	-0.0343069	0.508571	0.860094	0.362626	-0.406148	2
221.423	-8.57333	-7.58294	0.018823	-0.0356835	0.469193	0.882173	0.419036	-0.780543	2
221.623	-8.52742	-7.51857	0.0171612	-0.036904	0.422966	0.905231	0.450909	-0.77142	2
221.823	-8.47906	-7.4472	0.0152548	-0.0382357	0.37413	0.926462	0.423999	-0.508221	2
222.024	-8.42175	-7.39441	0.0141578	-0.0388121	0.346383	0.937183	0.379416	-0.302247	2
222.224	-8.34962	-7.37061	0.0136219	-0.0385683	0.336394	0.940833	0.315747	-0.122337	2
222.423	-8.31901	-7.34587	0.0135682	-0.0377262	0.340174	0.939507	0.198518	0.269641	2
222.623	-8.28478	-7.31708	0.0137212	-0.0360719	0.357274	0.933202	0	0.8	3
222.823	-8.26684	-7.29258	0.0137197	-0.0342683	0.376586	0.925646	0.521342	-0.819107	2
223.023	-8.19875	-7.23143	0.0120564	-0.0357946	0.32545	0.944805	0	0.8	3
223.223	-8.17259	-7.21063	0.0123009	-0.0337489	0.345091	0.937882	0	0.8	3
223.423	-8.22565	-7.20452	0.0126824	-0.0309471	0.37852	0.924989	0	0.8	3
223.623	-8.22088	-7.20148	0.0131974	-0.0271374	0.433053	0.900863	0.125217	0.64674	2
223.823	-8.20241	-7.17744	0.0133377	-0.0247317	0.47438	0.879871	0	0.8	3
224.023	-8.16829	-7.20251	0.0131412	-0.0208858	0.531532	0.846679	0	0.8	3
224.223	-8.16079	-7.18567	0.0126759	-0.0180326	0.573274	0.819067	0	0.8	3
224.423	-8.15972	-7.10171	0.0114995	-0.0146644	0.614532	0.788671	0	0.8	3
224.623	-8.15569	-7.08174	0.010622	-0.0122383	0.651159	0.758768	0.199064	0.479627	2
224.823	-8.13294	-7.10424	0.0095544	-0.0100065	0.686539	0.726961	0	0.8	3
225.023	-8.13212	-7.09124	0.0082887	-0.00872926	0.701951	0.712124	0.215097	-0.30261	2
225.224	-8.13065	-7.04938	0.00745912	-0.00799285	0.69325	0.720615	0.214852	-0.162376	2
225.423	-8.09632	-7.03142	0.0066182	-0.00728737	0.688116	0.725534	0.214706	-0.28813	2
225.624	-8.09305	-6.98979	0.00575615	-0.00666259	0.673195	0.739413	0.217826	-0.361074	2
225.823	-8.08515	-6.9254	0.0049324	-0.00607889	0.652922	0.757385	0.221243	-0.40365	2
226.023	-8.07529	-6.86566	0.00419484	-0.005481	0.630285	0.776333	0.217828	-0.361094	2
226.223	-8.06593	-6.82484	0.00347903	-0.00476417	0.610128	0.792281	0.219056	-0.378473	2
226.423	-8.05388	-6.78315	0.00275786	-0.00431457	0.577452	0.816408	0.241685	-0.85537	2
226.623	-8.04053	-6.75676	0.00227476	-0.00363261	0.541513	0.840681	0.230517	-0.438277	2
226.823	-8.02217	-6.71675	0.00169942	-0.00265246	0.52048	0.853868	0.229395	-0.186625	2
227.023	-8.02319	-6.67527	0.00101389	-0.00162633	0.502047	0.864838	0.22829	-0.210028	2
227.223	-8.0017	-6.63723	0.000366789	-0.000543072	0.488777	0.872409	0.225991	-0.120184	2
227.423	-7.97949	-6.60027	0.00020754	-0.000277267	0.475144	0.879908	0.227653	-0.17998	2
227.623	-7.96049	-6.57496	0.000207423	-0.00025438	0.462374	0.886685	0.226123	-0.175308	2
227.823	-7.93142	-6.54433	0.000191426	-0.000230403	0.451551	0.892245	0.226246	-0.13825	2
228.023	-7.90623	-6.5098	0.000200152	-0.000301692	0.438967	0.898503	0.22529	-0.134087	2
228.223	-7.87628	-6.47054	0.000180403	-0.000281598	0.425148	0.905124	0.226529	-0.208109	2
228.423	-7.84521	-6.4322	0.000138144	-0.000295921	0.410968	0.91165	0.226219	-0.192359	2
