time	x	y	orientation_z	orientation_w	linear_vel	angular_vel
2176.33	-2.75055	6.38181	0.65514	0.734455	0.468769	0.652313
2176.53	-2.74323	6.47705	0.684514	0.707254	0.478283	0.669383
2176.73	-2.71411	6.57166	0.719911	0.671491	0.323829	0.694704
2176.93	-2.72032	6.63374	0.749771	0.638385	0.260684	0.564372
2177.13	-2.68276	6.65827	0.770083	0.614201	0.241431	0.646008
2177.33	-2.68676	6.676	0.778038	0.604631	0.158294	0.275747
2177.53	-2.69679	6.71489	0.794155	0.583664	0.172402	0.345836
2177.73	-2.71123	6.75608	0.797786	0.579189	0	0
2177.93	-2.71685	6.77397	0.809393	0.563603	0.0530246	0.342648
2178.13	-2.73709	6.80868	0.813889	0.557479	0.20966	0.22464
2178.33	-2.74936	6.84167	0.821534	0.546123	0.223355	0.284156
2178.53	-2.76178	6.87222	0.828853	0.535213	0.144886	0.158864
2178.73	-2.76883	6.89715	0.833629	0.528248	0	0
2178.93	-2.76949	6.91531	0.836245	0.524697	0	0
2179.13	-2.77521	6.92748	0.838781	0.521037	0.200525	0.18061
2179.33	-2.78242	6.94258	0.842604	0.515294	0	0
2179.53	-2.78182	6.93998	0.842602	0.515879	0	0
2179.73	-2.78195	6.94003	0.84307	0.515682	0	0
2179.93	-2.78208	6.94009	0.843533	0.515484	0	0
2180.13	-2.78785	6.94179	0.842583	0.517581	0	0
2180.33	-2.78799	6.94191	0.842987	0.517537	0	0
2180.53	-2.78717	6.94556	0.844296	0.51612	0	0
2180.73	-2.79546	6.96231	0.848482	0.509671	0	0
2180.93	-2.80471	6.9803	0.852371	0.503767	0	0
2181.13	-2.80529	6.98016	0.852267	0.504643	0	0
2181.33	-2.80645	6.97934	0.851539	0.506588	0	0
2181.53	-2.80651	6.97947	0.851876	0.506736	0	0
2181.73	-2.80657	6.97961	0.852207	0.506881	0	0
2181.93	-2.80919	6.97435	0.850882	0.509785	0	0
2182.13	-2.80925	6.97449	0.8512	0.509923	0	0
2182.33	-2.8106	6.9846	0.853011	0.507546	0	0
2182.53	-2.81105	6.98784	0.853789	0.506881	0	0
2182.73	-2.81111	6.98797	0.854089	0.507006	0	0
2182.93	-2.81117	6.98811	0.854383	0.507127	0	0
2183.23	-2.81283	6.98985	0.854774	0.507363	0	0
2183.43	-2.81303	6.98933	0.854772	0.507803	0	0
2183.73	-2.81375	6.98663	0.854218	0.509579	0	0
2183.93	-2.81382	6.98677	0.854481	0.509682	0	0
2184.13	-2.81385	6.98839	0.854727	0.509799	0	0
2184.33	-2.81391	6.98853	0.854978	0.509894	0	0
2184.53	-2.81397	6.98866	0.855222	0.509985	0	0
2184.73	-2.81533	6.99364	0.855857	0.509406	0	0
2184.93	-2.81539	6.99377	0.856089	0.509489	0	0
2185.13	-2.81546	6.99391	0.856314	0.509568	0	0
2185.33	-2.81972	6.99032	0.854949	0.512297	0	0
2185.53	-2.81978	6.99045	0.855161	0.512369	0	0
2185.83	-2.81985	6.99064	0.855404	0.512474	0	0
2186.03	-2.82881	7.00795	0.859566	0.50579	0	0
2186.23	-2.83357	7.01621	0.86093	0.503802	0.201122	0.110811
2186.43	-2.8592	7.06074	0.868823	0.490218	0.273504	0.17782
2186.63	-2.88174	7.09846	0.875725	0.478009	0.198062	0.11729
2186.83	-2.91016	7.14908	0.881393	0.467698	0.143089	0.112761
2187.03	-2.9475	7.20963	0.886954	0.457185	0.367315	0.0921442
2187.33	-3.01294	7.30052	0.892127	0.447046	0.409118	-0.0346065
2187.53	-3.05089	7.34769	0.895132	0.441071	0.279113	0.11435
2187.83	-3.12561	7.44551	0.895288	0.440708	0.44295	-0.114874
2188.03	-3.18302	7.52443	0.893248	0.44475	0.452639	-0.149907
2188.33	-3.25776	7.62655	0.888262	0.454561	0.392693	-0.102948
2188.53	-3.26048	7.63158	0.888052	0.454988	0.33735	-0.124162
