time	x	y	orientation_z	orientation_w	linear_vel	angular_vel
2174.94	-2.22022	4.40175	-0.46769	0.86328	0.775349	-0.345383
2175.14	-2.13288	4.26616	-0.477518	0.857616	0.789666	-0.284989
2175.34	-2.01461	4.08313	-0.481022	0.855371	0.804526	-0.258439
2175.54	-1.9303	3.94416	-0.487943	0.851177	0.787835	-0.282966
2175.74	-1.84702	3.80201	-0.493269	0.847826	0.803802	-0.256975
2175.94	-1.74304	3.64191	-0.495917	0.845992	0.807397	-0.238389
2176.14	-1.68187	3.53376	-0.49913	0.843859	0.789907	-0.264614
2176.34	-1.6027	3.39073	-0.503907	0.840749	0.794634	-0.26895
2176.54	-1.50964	3.22952	-0.510823	0.83629	0.804947	-0.290235
2176.74	-1.43548	3.08672	-0.50937	0.836901	0.529212	0.988133
2176.94	-1.37765	2.99244	-0.443066	0.873658	0.657434	-0.468674
2177.14	-1.29353	2.88306	-0.470446	0.859115	0.699206	-0.265418
2177.34	-1.25725	2.82611	-0.569237	0.79737	0.697938	0.0719081
2177.54	-1.09976	2.65355	-0.552295	0.809003	0.740923	-0.0657085
2177.74	-1.04447	2.52473	-0.516687	0.832014	0.666235	0.570711
2177.94	-0.977524	2.40789	-0.462418	0.863234	0.645655	0.955136
2178.14	-0.92173	2.28186	-0.384621	0.900358	0.562938	0.732
2178.34	-0.850335	2.18082	-0.314694	0.926878	0.669176	0.880148
2178.54	-0.852371	2.04639	-0.23632	0.949436	0.768453	0.989326
2178.74	-0.786912	1.98268	-0.17252	0.962743	0.570939	1.01159
2178.94	-0.660252	1.94697	-0.101895	0.972084	0.571677	1.01358
2179.14	-0.58238	1.85555	-0.019406	0.97645	0.571815	1.01848
2179.34	-0.502701	1.78513	0.0508433	0.975527	0.574592	0.984831
2179.54	-0.38769	1.80426	0.104818	0.971887	0.578027	0.909135
2179.74	-0.236278	1.78434	0.162125	0.964195	0.58119	0.727045
2179.94	-0.124437	1.82637	0.217492	0.952865	0.5931	0.573844
2180.14	0.0610494	1.84572	0.260094	0.94172	0.633398	0.299773
2180.34	0.171465	1.91249	0.278563	0.935876	0.664836	0.164597
2180.54	0.287513	1.98683	0.28602	0.93293	0.715916	0.0192827
2180.74	0.457152	2.06598	0.305632	0.926112	0.583038	0.943085
2180.94	0.549115	2.14194	0.374197	0.900563	0.59287	0.863094
2181.14	0.612575	2.22016	0.428104	0.876202	0.602971	0.818653
2181.34	0.620254	2.26286	0.463747	0.857987	0.602684	0.815142
2181.54	0.682468	2.368	0.510652	0.831144	0.598963	0.828869
2181.74	0.807139	2.46481	0.564877	0.795624	0.607144	0.742736
2181.94	0.842734	2.58159	0.602235	0.768161	0.642216	0.443568
2182.14	0.913333	2.71305	0.609749	0.762376	0.656329	-0.704962
2182.34	0.965854	2.8346	0.553624	0.803159	0.323184	-2.9857
2182.54	1.00361	2.90546	0.436974	0.87116	0.484658	-1.3
2182.74	1.02498	3.01755	0.330948	0.917062	0.488589	-1.3
2182.94	1.04777	3.10355	0.232621	0.947237	0.508461	-1.3
2183.14	1.14299	3.17605	0.118824	0.968527	0.637293	-0.895181
2183.34	1.2856	3.20499	0.078578	0.972793	0.742734	-0.523223
2183.54	1.50627	3.24411	0.0720943	0.973373	0.752947	-0.457421
2183.74	1.65553	3.2653	0.0598656	0.974123	0.760346	-0.425512
2183.94	1.76799	3.27929	0.0506091	0.974522	0.772855	-0.409932
2184.14	1.80858	3.30073	0.0459748	0.974465	0.783784	-0.390601
2184.34	1.96356	3.31682	0.0345396	0.974611	0.72871	-0.601268
2184.54	2.0948	3.32543	-0.00610423	0.974983	0.519258	-1.27698
2184.74	2.2407	3.37533	-0.0999996	0.969585	0.482521	-1.3
2184.94	2.33139	3.35344	-0.181965	0.957126	0.482131	-1.3
2185.14	2.4024	3.40365	-0.371602	0.901243	0	-3
2185.34	2.42243	3.61106	-0.579002	0.785325	0	-3
2185.54	2.67304	3.55648	-0.654879	0.72159	1.3	-0.912428
2185.74	2.75294	3.37702	-0.662893	0.71293	0	0
2185.94	2.75287	3.37686	-0.663332	0.713296	0	0
2186.14	2.81449	3.33843	-0.671638	0.706257	0	0
2186.34	2.81442	3.33831	-0.671965	0.706526	0	0
2186.54	2.81434	3.33814	-0.672394	0.70688	0	0
2186.74	2.81639	3.3315	-0.672885	0.707166	0	0
2186.94	2.81882	3.32372	-0.673381	0.707438	0	0
2187.14	2.81874	3.32356	-0.673792	0.707783	0	0
2187.34	2.81866	3.3234	-0.674198	0.708124	0	0
2187.54	2.80985	3.32272	-0.67029	0.712539	0	0
2187.74	2.80977	3.32255	-0.670682	0.712877	0	0
2187.94	2.80593	3.30349	-0.670151	0.714072	0	0
2188.14	2.80585	3.30333	-0.67053	0.714404	0	0
2188.34	2.80578	3.30317	-0.670903	0.714733	0	0
2188.54	2.79504	3.29599	-0.669059	0.717118	0	0
2188.74	2.79494	3.29578	-0.669419	0.717421	0	0
2188.94	2.79487	3.29562	-0.669684	0.717646	0	0
2189.14	2.81823	3.29196	-0.670098	0.717885	0	0
2189.34	2.81813	3.29175	-0.670443	0.71818	0	0
2189.54	2.81803	3.29155	-0.670782	0.718473	0	0
2189.74	2.82382	3.27466	-0.670753	0.719111	0	0
2189.94	2.82375	3.2745	-0.671077	0.719418	0	0
2190.14	2.82367	3.27434	-0.671396	0.719722	0	0
2190.34	2.8176	3.26439	-0.670689	0.720972	0	0
2190.54	2.81671	3.26289	-0.670856	0.721399	0	0
2190.74	2.81663	3.26273	-0.671157	0.721693	0	0
2190.94	2.80997	3.24669	-0.670397	0.722963	0	0
2191.14	2.80989	3.24652	-0.670688	0.723243	0	0
2191.34	2.80982	3.24636	-0.670979	0.723524	0	0
2191.54	2.82197	3.21833	-0.670955	0.723951	0	0
2191.74	2.8219	3.21817	-0.671235	0.724226	0	0
2191.94	2.82182	3.21801	-0.671508	0.724499	0	0
2192.14	2.81965	3.20218	-0.670733	0.725732	0	0
2192.34	2.81957	3.20203	-0.670994	0.725998	0	0
2192.54	2.8195	3.20187	-0.671249	0.726261	0	0
2192.74	2.80726	3.19673	-0.670195	0.727722	0	0
2192.94	2.80451	3.19548	-0.670151	0.728242	0	0
2193.14	2.80444	3.19532	-0.670387	0.728495	0	0
2193.34	2.80425	3.16832	-0.670362	0.728979	0	0
2193.54	2.80418	3.16816	-0.670586	0.729225	0	0
2193.74	2.80411	3.168	-0.670805	0.729468	0	0
2193.94	2.80673	3.11462	-0.670341	0.730327	0	0
