time	x	y	orientation_z	orientation_w	linear_vel	angular_vel
78.139	0.00978599	0.0033012	0.742238	0.670136	0	0.652978
78.339	0.00833624	0.0196939	0.787251	0.616632	0.148049	0.925475
78.539	-0.0149744	0.0936061	0.831808	0.555063	0.472294	1
78.739	-0.0932537	0.233092	0.871992	0.489502	0.849028	1
79.04	-0.21606	0.409866	0.916676	0.399519	0.827924	0.868899
79.24	-0.334578	0.523627	0.940852	0.338558	0.816208	0.824936
79.539	-0.533017	0.644853	0.967412	0.252519	0.701988	0.771344
79.739	-0.659825	0.701981	0.978507	0.205083	0.690174	0.788777
79.939	-0.772115	0.744965	0.986587	0.161528	0.544713	0.685569
80.139	-0.864774	0.764971	0.991916	0.124422	0.486492	0.664102
80.439	-0.997502	0.7894	0.997471	0.0660897	0.416012	0.641079
80.639	-1.08902	0.787903	0.999163	0.0309639	0.38595	0.616236
80.939	-1.19677	0.787998	0.999293	-0.0262166	0.345747	0.619504
81.139	-1.25403	0.769353	0.997892	-0.0592226	0.280227	0.564504
81.339	-1.29936	0.762576	0.995564	-0.0905755	0.2167	0.408461
81.539	-1.33073	0.756152	0.992984	-0.115674	0.217198	0.469389
81.739	-1.37747	0.736368	0.989401	-0.143335	0.194305	0.421532
81.939	-1.4129	0.725282	0.984506	-0.173998	0.162799	0.368439
82.139	-1.44196	0.707996	0.979564	-0.200139	0.166857	0.418367
82.439	-1.48229	0.684543	0.970857	-0.239052	0.12838	0.356588
82.639	-1.50603	0.671953	0.964049	-0.265302	0.124473	0.351871
82.839	-1.52769	0.668504	0.956912	-0.290101	0.0670409	0.335364
83.039	-1.54143	0.659297	0.950309	-0.311142	0.0628246	0.300275
83.239	-1.55427	0.649942	0.943351	-0.331707	0.108051	0.292084
83.439	-1.56041	0.627506	0.938089	-0.346358	0.0419024	0.329661
83.639	-1.57321	0.616591	0.931982	-0.362497	0.111357	0.158307
83.939	-1.62067	0.573521	0.934737	-0.355339	0.298098	-0.114219
84.239	-1.67502	0.524741	0.934982	-0.354696	0.404404	-0.183506
84.439	-1.69577	0.506147	0.936854	-0.349722	0.190586	-0.08006
84.639	-1.73022	0.477168	0.940283	-0.340393	0.272268	-0.160496
84.939	-1.79932	0.419493	0.949173	-0.314753	0.357774	-0.325047
85.139	-1.85976	0.3729	0.959091	-0.283095	0.42101	-0.43974
85.339	-1.92702	0.322047	0.966443	-0.256878	0.440537	-0.468645
85.639	-2.05454	0.245128	0.978396	-0.206708	0.697863	-0.619771
85.839	-2.16134	0.181014	0.98284	-0.184311	0.737001	-0.65314
86.139	-2.36614	0.116286	0.991923	-0.126204	0.717846	-0.685902
86.339	-2.49916	0.10844	0.99489	-0.0997334	0.661151	-0.667459
86.539	-2.5862	0.0940206	0.997301	-0.0713059	0.567683	-0.675332
86.84	-2.76073	0.0810144	0.999735	-0.00850557	0.609329	-0.712735
87.139	-2.93947	0.0773312	0.997589	0.0645398	0.585466	-0.801226
87.339	-3.05751	0.0990636	0.991611	0.126078	0.656789	-0.892699
87.639	-3.21603	0.157069	0.970597	0.238488	0.570517	-0.779682
87.839	-3.30885	0.210561	0.952551	0.302433	0.528003	-0.721915
88.039	-3.38966	0.264551	0.932704	0.358859	0.529295	-0.738582
88.239	-3.46497	0.357009	0.916509	0.398317	0.471098	-0.694554
88.439	-3.51555	0.415918	0.897451	0.439568	0.356957	-0.557547
88.639	-3.54549	0.442727	0.879854	0.47384	0.293452	-0.525632
88.939	-3.58653	0.511456	0.853789	0.519428	0.249691	-0.480173
89.139	-3.60201	0.529543	0.843654	0.535802	0.222893	-0.338319
89.34	-3.61321	0.554341	0.83532	0.54882	0	0
89.64	-3.62505	0.583398	0.820209	0.571336	0.115522	-0.33093
89.839	-3.62714	0.599103	0.816164	0.57721	0.169442	-0.268844
90.139	-3.63968	0.639128	0.802241	0.596534	0.171669	-0.241998
90.439	-3.64725	0.668514	0.79386	0.607767	0.105908	-0.237548
90.639	-3.65376	0.69722	0.786177	0.617731	0.164636	-0.227578
90.839	-3.65637	0.710953	0.782726	0.622164	0.116497	-0.206011
91.039	-3.66363	0.74927	0.776281	0.630219	0.223167	-0.204627
91.239	-3.67039	0.794208	0.769515	0.638485	0.244879	-0.193741
91.439	-3.67803	0.814754	0.764507	0.644516	0.158788	-0.142584
91.639	-3.68023	0.829294	0.762587	0.646813	0	0
91.939	-3.68746	0.883096	0.75558	0.655011	0.206743	-0.173948
92.139	-3.69154	0.939146	0.750364	0.660988	0.250838	-0.169336
92.339	-3.69524	0.990324	0.744894	0.667153	0.251639	-0.152434
92.539	-3.69792	1.04566	0.737818	0.674974	0.314921	-0.163537
92.739	-3.69811	1.12747	0.733117	0.680071	0.417286	-0.124698
92.939	-3.70106	1.21779	0.729335	0.684112	0.474638	-0.0957487
93.139	-3.70371	1.32108	0.725312	0.68835	0.550515	-0.0790265
93.34	-3.70107	1.43671	0.72319	0.690534	0.62337	-0.0883227
93.639	-3.7052	1.64819	0.717726	0.696083	0.767338	-0.0651328
93.839	-3.70733	1.80306	0.714719	0.699036	0.78838	-0.0544998
94.139	-3.7088	1.984	0.712907	0.700678	0.75692	-0.0449069
94.339	-3.71151	2.13912	0.709914	0.703517	0.780442	-0.0249684
94.539	-3.69873	2.29523	0.705372	0.707848	0.780621	0
94.739	-3.69981	2.45272	0.703473	0.709481	0.803656	-0.00536667
94.939	-3.69945	2.61138	0.700926	0.711711	0.803981	0.0134803
95.139	-3.69112	2.75723	0.69798	0.714284	0.804668	0.0264787
95.339	-3.69166	2.91315	0.697177	0.714734	0.785403	0.00984537
95.539	-3.69288	3.06812	0.696689	0.714851	0.7452	0.013639
95.739	-3.66591	3.19927	0.691482	0.719554	0.665265	0.0271868
95.94	-3.66688	3.32442	0.692876	0.717945	0.654522	0.0357278
96.14	-3.66678	3.44264	0.694398	0.71623	0.581491	0.0751232
96.439	-3.66238	3.61124	0.695575	0.714704	0.588656	0.098472
96.64	-3.66062	3.72733	0.699319	0.710783	0.580572	0.158173
96.939	-3.65061	3.90555	0.709724	0.699832	0.795079	0.234677
97.139	-3.6555	4.05137	0.720313	0.68845	0.701328	0.291582
97.339	-3.66447	4.18176	0.738805	0.668155	0.716709	0.55148
97.639	-3.692	4.42024	0.784411	0.612905	0.879146	0.649007
97.839	-3.74771	4.61514	0.822194	0.560109	1.03755	0.692859
98.039	-3.83119	4.80136	0.856543	0.504834	0.992531	0.596977
98.239	-3.91453	4.96489	0.88288	0.455969	0.960169	0.520825
98.439	-4.02698	5.1145	0.901536	0.416547	0.924216	0.472525
98.639	-4.14006	5.25586	0.915563	0.383321	0.886254	0.420456
98.839	-4.26589	5.37711	0.926097	0.35563	0.869142	0.355242
99.039	-4.38643	5.49173	0.934947	0.330028	0.849834	0.391084
99.239	-4.43213	5.57573	0.942484	0.30664	0.831511	0.349244
